Region;Federal District;Date;Cases;Deaths
Altai Republic;Siberian Federal District;17.04.2020;1;
Altai region;Siberian Federal District;18.04.2020;10;
Amur region;Far Eastern Federal District;18.04.2020;3;
Arhangelsk region;Northwestern Federal District;18.04.2020;5;
Astrakhan region;Southern Federal District;18.04.2020;35;
Belgorod region;Central Federal District;18.04.2020;11;
Bryansk region;Central Federal District;18.04.2020;28;
Vladimir region;Central Federal District;18.04.2020;15;
Volgograd region;Southern Federal District;18.04.2020;17;1
Vologda Region;Northwestern Federal District;18.04.2020;9;
Voronezh region;Central Federal District;18.04.2020;22;4
Jewish Autonomous Region;Far Eastern Federal District;18.04.2020;3;
Zabaykalsky Krai;Far Eastern Federal District;18.04.2020;3;
Ivanovo region;Central Federal District;18.04.2020;15;1
Irkutsk region;Siberian Federal District;18.04.2020;7;
Kabardino-Balkarian Republic;North Caucasus Federal District;18.04.2020;22;
Kaliningrad region;Northwestern Federal District;18.04.2020;11;
Kaluga region;Central Federal District;18.04.2020;29;1
Kamchatka Krai;Far Eastern Federal District;18.04.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;18.04.2020;1;
Kemerovo region;Siberian Federal District;18.04.2020;4;1
Kirov region;Volga Federal District;18.04.2020;20;
Kostroma region;Central Federal District;18.04.2020;6;
Krasnodar region;Southern Federal District;18.04.2020;45;1
Krasnoyarsk region;Siberian Federal District;18.04.2020;45;
Kurgan region;Ural federal district;18.04.2020;1;
Kursk region;Central Federal District;18.04.2020;25;
Leningrad region;Northwestern Federal District;18.04.2020;34;
Lipetsk region;Central Federal District;18.04.2020;21;
Magadan Region;Far Eastern Federal District;18.04.2020;44;
Moscow;Central Federal District;18.04.2020;2649;21
Moscow region;Central Federal District;18.04.2020;428;
Murmansk region;Northwestern Federal District;18.04.2020;7;1
Nizhny Novgorod Region;Volga Federal District;18.04.2020;59;
Novgorod region;Northwestern Federal District;18.04.2020;6;1
Novosibirsk region;Siberian Federal District;18.04.2020;10;
Omsk region;Siberian Federal District;18.04.2020;5;
Orenburg region;Volga Federal District;18.04.2020;20;
Oryol Region;Central Federal District;18.04.2020;34;1
Penza region;Volga Federal District;18.04.2020;21;
Perm region;Volga Federal District;18.04.2020;26;
Primorsky Krai;Far Eastern Federal District;18.04.2020;18;
Pskov region;Northwestern Federal District;18.04.2020;5;2
Republic of Adygea;Southern Federal District;18.04.2020;5;
Republic of Bashkortostan;Volga Federal District;18.04.2020;39;
Republic of Buryatia;Far Eastern Federal District;18.04.2020;9;
Altai Republic;Siberian Federal District;18.04.2020;1;
Republic of Dagestan;North Caucasus Federal District;18.04.2020;44;
Republic of Ingushetia;North Caucasus Federal District;18.04.2020;36;2
Republic of Kalmykia;Southern Federal District;18.04.2020;14;
Republic of Karelia;Northwestern Federal District;18.04.2020;6;
Komi Republic;Northwestern Federal District;18.04.2020;19;
Republic of Crimea;Southern Federal District;18.04.2020;3;
Mari El Republic;Volga Federal District;18.04.2020;40;
The Republic of Mordovia;Volga Federal District;18.04.2020;62;
The Republic of Sakha (Yakutia);Far Eastern Federal District;18.04.2020;9;
Republic of North Ossetia - Alania;North Caucasus Federal District;18.04.2020;29;
Republic of Tatarstan;Volga Federal District;18.04.2020;16;
Tyva Republic;Siberian Federal District;18.04.2020;;
The Republic of Khakassia;Siberian Federal District;18.04.2020;8;
Chuvash Republic;Volga Federal District;18.04.2020;27;
Rostov region;Southern Federal District;18.04.2020;29;
Ryazan Oblast;Central Federal District;18.04.2020;41;
Samara Region;Volga Federal District;18.04.2020;1;
St. Petersburg;Northwestern Federal District;18.04.2020;139;1
Saratov region;Volga Federal District;18.04.2020;11;
Sakhalin Oblast;Far Eastern Federal District;18.04.2020;;
Sverdlovsk region;Ural federal district;18.04.2020;11;1
Sevastopol;Southern Federal District;18.04.2020;;
Smolensk region;Central Federal District;18.04.2020;13;
Stavropol region;North Caucasus Federal District;18.04.2020;54;
Tambov Region;Central Federal District;18.04.2020;32;
Tver region;Central Federal District;18.04.2020;49;
Tomsk region;Siberian Federal District;18.04.2020;3;
Tula region;Central Federal District;18.04.2020;30;
Tyumen region;Ural federal district;18.04.2020;39;
Udmurtia;Volga Federal District;18.04.2020;4;
Ulyanovsk region;Volga Federal District;18.04.2020;19;
Khabarovsk region;Far Eastern Federal District;18.04.2020;38;1
Khanty-Mansi Autonomous Okrug;Ural federal district;18.04.2020;33;
Chelyabinsk region;Ural federal district;18.04.2020;4;
Chechen Republic;North Caucasus Federal District;18.04.2020;60;
Yamal-Nenets Autonomous Okrug;Ural federal district;18.04.2020;5;
Yaroslavskaya oblast;Central Federal District;18.04.2020;24;
Altai region;Siberian Federal District;19.04.2020;9;
Amur region;Far Eastern Federal District;19.04.2020;2;
Arhangelsk region;Northwestern Federal District;19.04.2020;68;
Astrakhan region;Southern Federal District;19.04.2020;24;
Belgorod region;Central Federal District;19.04.2020;9;
Bryansk region;Central Federal District;19.04.2020;23;
Vladimir region;Central Federal District;19.04.2020;27;
Volgograd region;Southern Federal District;19.04.2020;14;
Vologda Region;Northwestern Federal District;19.04.2020;7;
Voronezh region;Central Federal District;19.04.2020;26;
Jewish Autonomous Region;Far Eastern Federal District;19.04.2020;1;
Zabaykalsky Krai;Far Eastern Federal District;19.04.2020;1;
Ivanovo region;Central Federal District;19.04.2020;19;
Irkutsk region;Siberian Federal District;19.04.2020;1;
Kabardino-Balkarian Republic;North Caucasus Federal District;19.04.2020;22;
Kaliningrad region;Northwestern Federal District;19.04.2020;11;
Kaluga region;Central Federal District;19.04.2020;37;
Kamchatka Krai;Far Eastern Federal District;19.04.2020;5;
Karachay-Cherkess Republic;North Caucasus Federal District;19.04.2020;17;
Kemerovo region;Siberian Federal District;19.04.2020;9;
Kirov region;Volga Federal District;19.04.2020;39;
Kostroma region;Central Federal District;19.04.2020;13;
Krasnodar region;Southern Federal District;19.04.2020;48;1
Krasnoyarsk region;Siberian Federal District;19.04.2020;24;
Kurgan region;Ural federal district;19.04.2020;;
Kursk region;Central Federal District;19.04.2020;26;
Leningrad region;Northwestern Federal District;19.04.2020;29;
Lipetsk region;Central Federal District;19.04.2020;20;1
Magadan Region;Far Eastern Federal District;19.04.2020;1;
Moscow;Central Federal District;19.04.2020;3570;28
Moscow region;Central Federal District;19.04.2020;709;9
Murmansk region;Northwestern Federal District;19.04.2020;33;1
Nizhny Novgorod Region;Volga Federal District;19.04.2020;129;
Novgorod region;Northwestern Federal District;19.04.2020;18;
Novosibirsk region;Siberian Federal District;19.04.2020;22;1
Omsk region;Siberian Federal District;19.04.2020;2;
Orenburg region;Volga Federal District;19.04.2020;44;
Oryol Region;Central Federal District;19.04.2020;13;
Penza region;Volga Federal District;19.04.2020;;3
Perm region;Volga Federal District;19.04.2020;28;
Primorsky Krai;Far Eastern Federal District;19.04.2020;13;
Pskov region;Northwestern Federal District;19.04.2020;2;
Republic of Adygea;Southern Federal District;19.04.2020;7;
Republic of Bashkortostan;Volga Federal District;19.04.2020;;2
Republic of Buryatia;Far Eastern Federal District;19.04.2020;3;
Altai Republic;Siberian Federal District;19.04.2020;;
Republic of Dagestan;North Caucasus Federal District;19.04.2020;35;
Republic of Ingushetia;North Caucasus Federal District;19.04.2020;42;1
Republic of Kalmykia;Southern Federal District;19.04.2020;7;
Republic of Karelia;Northwestern Federal District;19.04.2020;4;
Komi Republic;Northwestern Federal District;19.04.2020;7;
Republic of Crimea;Southern Federal District;19.04.2020;2;
Mari El Republic;Volga Federal District;19.04.2020;43;
The Republic of Mordovia;Volga Federal District;19.04.2020;60;
The Republic of Sakha (Yakutia);Far Eastern Federal District;19.04.2020;41;
Republic of North Ossetia - Alania;North Caucasus Federal District;19.04.2020;26;
Republic of Tatarstan;Volga Federal District;19.04.2020;31;
Tyva Republic;Siberian Federal District;19.04.2020;4;
The Republic of Khakassia;Siberian Federal District;19.04.2020;22;
Chuvash Republic;Volga Federal District;19.04.2020;29;
Rostov region;Southern Federal District;19.04.2020;35;
Ryazan Oblast;Central Federal District;19.04.2020;42;
Samara Region;Volga Federal District;19.04.2020;15;
St. Petersburg;Northwestern Federal District;19.04.2020;114;
Saratov region;Volga Federal District;19.04.2020;16;
Sakhalin Oblast;Far Eastern Federal District;19.04.2020;;
Sverdlovsk region;Ural federal district;19.04.2020;15;
Sevastopol;Southern Federal District;19.04.2020;1;
Smolensk region;Central Federal District;19.04.2020;21;
Stavropol region;North Caucasus Federal District;19.04.2020;23;1
Tambov Region;Central Federal District;19.04.2020;22;
Tver region;Central Federal District;19.04.2020;33;
Tomsk region;Siberian Federal District;19.04.2020;5;
Tula region;Central Federal District;19.04.2020;58;
Tyumen region;Ural federal district;19.04.2020;42;
Udmurtia;Volga Federal District;19.04.2020;4;
Ulyanovsk region;Volga Federal District;19.04.2020;11;
Khabarovsk region;Far Eastern Federal District;19.04.2020;38;
Khanty-Mansi Autonomous Okrug;Ural federal district;19.04.2020;14;
Chelyabinsk region;Ural federal district;19.04.2020;7;
Chechen Republic;North Caucasus Federal District;19.04.2020;44;
Yamal-Nenets Autonomous Okrug;Ural federal district;19.04.2020;10;
Yaroslavskaya oblast;Central Federal District;19.04.2020;12;
Altai region;Siberian Federal District;20.04.2020;12;
Amur region;Far Eastern Federal District;20.04.2020;4;
Arhangelsk region;Northwestern Federal District;20.04.2020;7;1
Astrakhan region;Southern Federal District;20.04.2020;13;
Belgorod region;Central Federal District;20.04.2020;22;
Bryansk region;Central Federal District;20.04.2020;42;
Vladimir region;Central Federal District;20.04.2020;34;
Volgograd region;Southern Federal District;20.04.2020;18;
Vologda Region;Northwestern Federal District;20.04.2020;7;
Voronezh region;Central Federal District;20.04.2020;24;
Jewish Autonomous Region;Far Eastern Federal District;20.04.2020;2;
Zabaykalsky Krai;Far Eastern Federal District;20.04.2020;9;
Ivanovo region;Central Federal District;20.04.2020;20;1
Irkutsk region;Siberian Federal District;20.04.2020;10;
Kabardino-Balkarian Republic;North Caucasus Federal District;20.04.2020;16;
Kaliningrad region;Northwestern Federal District;20.04.2020;12;
Kaluga region;Central Federal District;20.04.2020;40;2
Kamchatka Krai;Far Eastern Federal District;20.04.2020;7;
Karachay-Cherkess Republic;North Caucasus Federal District;20.04.2020;20;
Kemerovo region;Siberian Federal District;20.04.2020;6;
Kirov region;Volga Federal District;20.04.2020;19;
Kostroma region;Central Federal District;20.04.2020;4;
Krasnodar region;Southern Federal District;20.04.2020;34;3
Krasnoyarsk region;Siberian Federal District;20.04.2020;6;2
Kurgan region;Ural federal district;20.04.2020;;
Kursk region;Central Federal District;20.04.2020;24;
Leningrad region;Northwestern Federal District;20.04.2020;37;
Lipetsk region;Central Federal District;20.04.2020;20;
Magadan Region;Far Eastern Federal District;20.04.2020;;
Moscow;Central Federal District;20.04.2020;2026;28
Moscow region;Central Federal District;20.04.2020;578;
Murmansk region;Northwestern Federal District;20.04.2020;46;
Nizhny Novgorod Region;Volga Federal District;20.04.2020;113;1
Novgorod region;Northwestern Federal District;20.04.2020;10;
Novosibirsk region;Siberian Federal District;20.04.2020;24;
Omsk region;Siberian Federal District;20.04.2020;3;
Orenburg region;Volga Federal District;20.04.2020;;
Oryol Region;Central Federal District;20.04.2020;43;
Penza region;Volga Federal District;20.04.2020;25;
Perm region;Volga Federal District;20.04.2020;17;
Primorsky Krai;Far Eastern Federal District;20.04.2020;17;
Pskov region;Northwestern Federal District;20.04.2020;8;
Republic of Adygea;Southern Federal District;20.04.2020;9;
Republic of Bashkortostan;Volga Federal District;20.04.2020;45;4
Republic of Buryatia;Far Eastern Federal District;20.04.2020;;
Altai Republic;Siberian Federal District;20.04.2020;2;
Republic of Dagestan;North Caucasus Federal District;20.04.2020;39;
Republic of Ingushetia;North Caucasus Federal District;20.04.2020;39;
Republic of Kalmykia;Southern Federal District;20.04.2020;3;
Republic of Karelia;Northwestern Federal District;20.04.2020;8;
Komi Republic;Northwestern Federal District;20.04.2020;10;
Republic of Crimea;Southern Federal District;20.04.2020;;
Mari El Republic;Volga Federal District;20.04.2020;29;
The Republic of Mordovia;Volga Federal District;20.04.2020;35;
The Republic of Sakha (Yakutia);Far Eastern Federal District;20.04.2020;19;
Republic of North Ossetia - Alania;North Caucasus Federal District;20.04.2020;25;
Republic of Tatarstan;Volga Federal District;20.04.2020;39;
Tyva Republic;Siberian Federal District;20.04.2020;;
The Republic of Khakassia;Siberian Federal District;20.04.2020;8;
Chuvash Republic;Volga Federal District;20.04.2020;32;1
Rostov region;Southern Federal District;20.04.2020;60;
Ryazan Oblast;Central Federal District;20.04.2020;22;
Samara Region;Volga Federal District;20.04.2020;16;
St. Petersburg;Northwestern Federal District;20.04.2020;86;
Saratov region;Volga Federal District;20.04.2020;28;
Sakhalin Oblast;Far Eastern Federal District;20.04.2020;;
Sverdlovsk region;Ural federal district;20.04.2020;8;
Sevastopol;Southern Federal District;20.04.2020;4;
Smolensk region;Central Federal District;20.04.2020;16;
Stavropol region;North Caucasus Federal District;20.04.2020;12;
Tambov Region;Central Federal District;20.04.2020;22;
Tver region;Central Federal District;20.04.2020;26;
Tomsk region;Siberian Federal District;20.04.2020;4;
Tula region;Central Federal District;20.04.2020;22;
Tyumen region;Ural federal district;20.04.2020;27;
Udmurtia;Volga Federal District;20.04.2020;26;
Ulyanovsk region;Volga Federal District;20.04.2020;19;
Khabarovsk region;Far Eastern Federal District;20.04.2020;30;1
Khanty-Mansi Autonomous Okrug;Ural federal district;20.04.2020;13;
Chelyabinsk region;Ural federal district;20.04.2020;10;
Chechen Republic;North Caucasus Federal District;20.04.2020;45;
Yamal-Nenets Autonomous Okrug;Ural federal district;20.04.2020;24;
